"","year","state","event_type","fscale","total_economic_cost","lat","lng","casualties"
"99",1996,"CA","TORNADO",1,0,33.55,-116.47,0
"100",1996,"CA","TORNADO",1,0.205,38.15,-122.56,0
"101",1996,"CA","TORNADO",0,0.001,38.17,-122.05,1
"102",1996,"CO","TORNADO",1,0,40.35,-102.24,0
"103",1996,"CO","TORNADO",0,0,40.35,-102.23,0
"104",1996,"CO","TORNADO",1,0,40.22,-102.06,0
"105",1996,"CO","TORNADO",3,0.3,39.55,-103.11,0
"106",1996,"CO","TORNADO",0,0,40.36,-103.39,0
"107",1996,"CO","TORNADO",0,0,40.15,-103.54,0
"108",1996,"CO","TORNADO",0,0,40.12,-103.52,0
"109",1996,"CO","TORNADO",2,0.15,40.12,-103.52,0
"110",1996,"CO","TORNADO",0,0,40.11,-103.54,0
"111",1996,"CO","TORNADO",0,0,40.07,-103.04,0
"112",1996,"CO","TORNADO",0,0,40.11,-103.48,0
"113",1996,"CO","TORNADO",0,0,39.39,-102.36,0
"114",1996,"CO","TORNADO",0,0,40.09,-102.57,0
"115",1996,"CO","TORNADO",0,0,40.41,-102.26,0
"116",1996,"CO","TORNADO",0,0,39.47,-103.31,0
"117",1996,"CO","TORNADO",0,0,39.44,-103.35,0
"118",1996,"CO","TORNADO",0,0,40.09,-102.57,0
"119",1996,"CO","TORNADO",0,0,39.44,-103.24,0
"120",1996,"CO","TORNADO",0,0,38.32,-102.17,0
"121",1996,"CO","TORNADO",0,0,38.28,-102.11,0
"122",1996,"CO","TORNADO",0,0,38.26,-102.32,0
"123",1996,"CO","TORNADO",0,0,38.15,-102.19,0
"124",1996,"CO","TORNADO",0,0,37.13,-102.44,0
"125",1996,"CO","TORNADO",0,0,37.22,-102.24,0
"126",1996,"CO","TORNADO",1,0,39.58,-105.28,0
"127",1996,"CO","TORNADO",0,0,40,-104.58,0
"128",1996,"CO","TORNADO",0,0,38.45,-102.21,0
"129",1996,"CO","TORNADO",0,0,37.06,-102.25,0
"130",1996,"CO","TORNADO",0,0,37.09,-102.11,0
"131",1996,"CO","TORNADO",0,0,40.07,-102.35,0
"132",1996,"CO","TORNADO",0,0,40.17,-102.29,0
"133",1996,"CO","TORNADO",0,0,40,-104.38,0
"134",1996,"CO","TORNADO",0,0,39.56,-104.34,0
"135",1996,"CO","TORNADO",0,0,39.56,-104.34,0
